city,mean_pm25before2020,mean_pm25after2020
beijing,115.013,101.325
guangzhou,107.4286,78.125
nanjing,133.5195,100.65
shanghai,111,96.5875
tianjin,137.974,113.6125
wuhan,147.7013,123.775
baotou,224.1299,110.325
dalian,111.8312,99.025
hangzhou,126.2338,103.0375
nanchang,142.961,113.5375
tangshan,167.5974,138.1125
xuzhou,169.7013,131.4125
benxi,159.3247,124.1375
changzhou,129.5714,96.725
dandong,123.1299,108.9
fuxin,149.1818,118.525
hefei,130.7143,97.575
wuxi,126.8831,99.85
cangzhou,163.4156,112.3625
chifeng,89.25974,72.075
huludao,168.2338,118.625
panjin,138.8961,109.875
yangzhou,119.2857,96.175
yibin,147.7662,124.475
chuzhou,142.7143,115.65
fangchenggang,97.84416,73.5
ganzhou,106.4026,84.3375
jinzhou,170.4026,126.2
suzhou,131.4156,111.8625
xianning,123.3766,97.9375