city,pm25,before_or_after
beijing,115.013,before
guangzhou,107.4286,before
nanjing,133.5195,before
shanghai,111,before
tianjin,137.974,before
wuhan,147.7013,before
baotou,224.1299,before
dalian,111.8312,before
hangzhou,126.2338,before
nanchang,142.961,before
tangshan,167.5974,before
xuzhou,169.7013,before
benxi,159.3247,before
changzhou,129.5714,before
dandong,123.1299,before
fuxin,149.1818,before
hefei,130.7143,before
wuxi,126.8831,before
cangzhou,163.4156,before
chifeng,89.25974,before
huludao,168.2338,before
panjin,138.8961,before
yangzhou,119.2857,before
yibin,147.7662,before
chuzhou,142.7143,before
fangchenggang,97.84416,before
ganzhou,106.4026,before
jinzhou,170.4026,before
suzhou,131.4156,before
xianning,123.3766,before
beijing,101.325,after
guangzhou,78.125,after
nanjing,100.65,after
shanghai,96.5875,after
tianjin,113.6125,after
wuhan,123.775,after
baotou,110.325,after
dalian,99.025,after
hangzhou,103.0375,after
nanchang,113.5375,after
tangshan,138.1125,after
xuzhou,131.4125,after
benxi,124.1375,after
changzhou,96.725,after
dandong,108.9,after
fuxin,118.525,after
hefei,97.575,after
wuxi,99.85,after
cangzhou,112.3625,after
chifeng,72.075,after
huludao,118.625,after
panjin,109.875,after
yangzhou,96.175,after
yibin,124.475,after
chuzhou,115.65,after
fangchenggang,73.5,after
ganzhou,84.3375,after
jinzhou,126.2,after
suzhou,111.8625,after
xianning,97.9375,after