Event,C_2019,I_2020,cityname
before_lockdown,118.641,111,shanghai
before_lockdown,113.4744,115.013,beijing
before_lockdown,134.3333,137.974,tianjin
before_lockdown,108.2564,107.4286,guangzhou
before_lockdown,144.7949,133.5195,nanjing
before_lockdown,161,147.7013,wuhan
before_lockdown,144.9487,126.2338,hangzhou
before_lockdown,107.5897,111.8312,dalian
before_lockdown,148.6712,130.7143,hefei
before_lockdown,136.7436,129.5714,changzhou
before_lockdown,134.2564,142.961,nanchang
before_lockdown,178.5897,167.5974,tangshan
before_lockdown,131.9103,126.8831,wuxi
before_lockdown,149.6301,224.1299,baotou
before_lockdown,174.7051,169.7013,xuzhou
before_lockdown,142.1579,119.2857,yangzhou
before_lockdown,105.6154,106.4026,ganzhou
before_lockdown,141.1923,131.4156,suzhou
before_lockdown,95.01282,89.25974,chifeng
before_lockdown,148,159.3247,benxi
before_lockdown,160.8961,170.4026,jinzhou
before_lockdown,130.1169,138.8961,panjin
before_lockdown,125.4935,123.1299,dandong
before_lockdown,136.1299,149.1818,fuxin
before_lockdown,163.3205,147.7662,yibin
before_lockdown,159.1948,168.2338,huludao
before_lockdown,161.4615,163.4156,cangzhou
before_lockdown,159.6301,142.7143,chuzhou
before_lockdown,91.91026,97.84416,fangchenggang
before_lockdown,131.589,123.3766,xianning
after_lockdown,119.375,96.5875,shanghai
after_lockdown,117.1125,101.325,beijing
after_lockdown,119.4125,113.6125,tianjin
after_lockdown,89.5375,78.125,guangzhou
after_lockdown,135.4125,100.65,nanjing
after_lockdown,150.038,123.775,wuhan
after_lockdown,130.7125,103.0375,hangzhou
after_lockdown,118.3625,99.025,dalian
after_lockdown,131.45,97.575,hefei
after_lockdown,126.175,96.725,changzhou
after_lockdown,113.6375,113.5375,nanchang
after_lockdown,149.4,138.1125,tangshan
after_lockdown,128.9875,99.85,wuxi
after_lockdown,125.825,110.325,baotou
after_lockdown,156.7875,131.4125,xuzhou
after_lockdown,126.7375,96.175,yangzhou
after_lockdown,85.875,84.3375,ganzhou
after_lockdown,134.2625,111.8625,suzhou
after_lockdown,82.7125,72.075,chifeng
after_lockdown,133.9375,124.1375,benxi
after_lockdown,135.5625,126.2,jinzhou
after_lockdown,116.75,109.875,panjin
after_lockdown,120.4625,108.9,dandong
after_lockdown,117.0875,118.525,fuxin
after_lockdown,147.9125,124.475,yibin
after_lockdown,134.15,118.625,huludao
after_lockdown,132.3125,112.3625,cangzhou
after_lockdown,141.9625,115.65,chuzhou
after_lockdown,77.12987,73.5,fangchenggang
after_lockdown,123.0875,97.9375,xianning