pm2.5,beforevsafter,2019vs2020
118.641,before,2019
113.4744,before,2019
134.3333,before,2019
108.2564,before,2019
144.7949,before,2019
161,before,2019
144.9487,before,2019
107.5897,before,2019
148.6712,before,2019
136.7436,before,2019
134.2564,before,2019
178.5897,before,2019
131.9103,before,2019
149.6301,before,2019
174.7051,before,2019
142.1579,before,2019
105.6154,before,2019
141.1923,before,2019
95.01282,before,2019
148,before,2019
160.8961,before,2019
130.1169,before,2019
125.4935,before,2019
136.1299,before,2019
163.3205,before,2019
159.1948,before,2019
161.4615,before,2019
159.6301,before,2019
91.91026,before,2019
131.589,before,2020
111,before,2020
115.013,before,2020
137.974,before,2020
107.4286,before,2020
133.5195,before,2020
147.7013,before,2020
126.2338,before,2020
111.8312,before,2020
130.7143,before,2020
129.5714,before,2020
142.961,before,2020
167.5974,before,2020
126.8831,before,2020
224.1299,before,2020
169.7013,before,2020
119.2857,before,2020
106.4026,before,2020
131.4156,before,2020
89.25974,before,2020
159.3247,before,2020
170.4026,before,2020
138.8961,before,2020
123.1299,before,2020
149.1818,before,2020
147.7662,before,2020
168.2338,before,2020
163.4156,before,2020
142.7143,before,2020
97.84416,before,2020
123.3766,before,2020
119.375,after,2019
117.1125,after,2019
119.4125,after,2019
89.5375,after,2019
135.4125,after,2019
150.038,after,2019
130.7125,after,2019
118.3625,after,2019
131.45,after,2019
126.175,after,2019
113.6375,after,2019
149.4,after,2019
128.9875,after,2019
125.825,after,2019
156.7875,after,2019
126.7375,after,2019
85.875,after,2019
134.2625,after,2019
82.7125,after,2019
133.9375,after,2019
135.5625,after,2019
116.75,after,2019
120.4625,after,2019
117.0875,after,2019
147.9125,after,2019
134.15,after,2019
132.3125,after,2019
141.9625,after,2019
77.12987,after,2019
123.0875,after,2019
96.5875,after,2020
101.325,after,2020
113.6125,after,2020
78.125,after,2020
100.65,after,2020
123.775,after,2020
103.0375,after,2020
99.025,after,2020
97.575,after,2020
96.725,after,2020
113.5375,after,2020
138.1125,after,2020
99.85,after,2020
110.325,after,2020
131.4125,after,2020
96.175,after,2020
84.3375,after,2020
111.8625,after,2020
72.075,after,2020
124.1375,after,2020
126.2,after,2020
109.875,after,2020
108.9,after,2020
118.525,after,2020
124.475,after,2020
118.625,after,2020
112.3625,after,2020
115.65,after,2020
73.5,after,2020
97.9375,after,2020