pm25_before2020,pm25_after2020,pm25_after2019,population_30cities,name_30cities
224.1299,110.325,125.825,2194261,baotou
115.013,101.325,117.1125,20501799,beijing
159.3247,124.1375,133.9375,1158632,benxi
163.4156,112.3625,132.3125,561635,cangzhou
129.5714,96.725,126.175,3636423,changzhou
89.25974,72.075,82.7125,1167720,chifeng
142.7143,115.65,141.9625,523360,chuzhou
111.8312,99.025,118.3625,5632414,dalian
123.1299,108.9,120.4625,878088,dandong
97.84416,73.5,77.12987,421541,fangchenggang
149.1818,118.525,117.0875,839907,fuxin
106.4026,84.3375,85.875,1290803,ganzhou
107.4286,78.125,89.5375,13332278,guangzhou
126.2338,103.0375,130.7125,7660494,hangzhou
130.7143,97.575,131.45,4253967,hefei
168.2338,118.625,134.15,776269,huludao
170.4026,126.2,135.5625,1146995,jinzhou
142.961,113.5375,113.6375,3608244,nanchang
133.5195,100.65,135.4125,8874287,nanjing
138.8961,109.875,116.75,1054995,panjin
111,96.5875,119.375,27125175,shanghai
131.4156,111.8625,134.2625,1174624,suzhou
167.5974,138.1125,149.4,3438783,tangshan
137.974,113.6125,119.4125,13606496,tianjin
147.7013,123.775,150.038,8373975,wuhan
126.8831,99.85,128.9875,3261168,wuxi
123.3766,97.9375,123.0875,350091,xianning
169.7013,131.4125,156.7875,2150261,xuzhou
119.2857,96.175,126.7375,1997261,yangzhou
147.7662,124.475,147.9125,815451,yibin