pm25_all2020,beforevsafter,pm25_all2019,population_30cities,30cities,population_discrete
111,before,118.641,27125175,shanghai,big
96.5875,after,119.375,27125175,shanghai,big
115.013,before,113.4744,20501799,beijing,big
101.325,after,117.1125,20501799,beijing,big
137.974,before,134.3333,13606496,tianjin,big
113.6125,after,119.4125,13606496,tianjin,big
107.4286,before,108.2564,13332278,guangzhou,big
78.125,after,89.5375,13332278,guangzhou,big
133.5195,before,144.7949,8874287,nanjing,big
100.65,after,135.4125,8874287,nanjing,big
147.7013,before,161,8373975,wuhan,big
123.775,after,150.038,8373975,wuhan,big
126.2338,before,144.9487,7660494,hangzhou,big
103.0375,after,130.7125,7660494,hangzhou,big
111.8312,before,107.5897,5632414,dalian,big
99.025,after,118.3625,5632414,dalian,big
130.7143,before,148.6712,4253967,hefei,big
97.575,after,131.45,4253967,hefei,big
129.5714,before,136.7436,3636423,changzhou,big
96.725,after,126.175,3636423,changzhou,big
142.961,before,134.2564,3608244,nanchang,medium
113.5375,after,113.6375,3608244,nanchang,medium
167.5974,before,178.5897,3438783,tangshan,medium
138.1125,after,149.4,3438783,tangshan,medium
126.8831,before,131.9103,3261168,wuxi,medium
99.85,after,128.9875,3261168,wuxi,medium
224.1299,before,149.6301,2194261,baotou,medium
110.325,after,125.825,2194261,baotou,medium
169.7013,before,174.7051,2150261,xuzhou,medium
131.4125,after,156.7875,2150261,xuzhou,medium
119.2857,before,142.1579,1997261,yangzhou,medium
96.175,after,126.7375,1997261,yangzhou,medium
106.4026,before,105.6154,1290803,ganzhou,medium
84.3375,after,85.875,1290803,ganzhou,medium
131.4156,before,141.1923,1174624,suzhou,medium
111.8625,after,134.2625,1174624,suzhou,medium
89.25974,before,95.01282,1167720,chifeng,medium
72.075,after,82.7125,1167720,chifeng,medium
159.3247,before,148,1158632,benxi,medium
124.1375,after,133.9375,1158632,benxi,medium
170.4026,before,160.8961,1146995,jinzhou,small
126.2,after,135.5625,1146995,jinzhou,small
138.8961,before,130.1169,1054995,panjin,small
109.875,after,116.75,1054995,panjin,small
123.1299,before,125.4935,878088,dandong,small
108.9,after,120.4625,878088,dandong,small
149.1818,before,136.1299,839907,fuxin,small
118.525,after,117.0875,839907,fuxin,small
147.7662,before,163.3205,815451,yibin,small
124.475,after,147.9125,815451,yibin,small
168.2338,before,159.1948,776269,huludao,small
118.625,after,134.15,776269,huludao,small
163.4156,before,161.4615,561635,cangzhou,small
112.3625,after,132.3125,561635,cangzhou,small
142.7143,before,159.6301,523360,chuzhou,small
115.65,after,141.9625,523360,chuzhou,small
97.84416,before,91.91026,421541,fangchenggang,small
73.5,after,77.12987,421541,fangchenggang,small
123.3766,before,131.589,350091,xianning,small
97.9375,after,123.0875,350091,xianning,small